run_name,blocks,k,beta,init_mode,baseline_ppl,sq_baseline_ppl,quantized_ppl,delta_ppl,sq_gain,rel_linear_error,recon_w,recon_x,beta_plot
t_block_indices_11-__q_beta_100__init_mode_pca__error_mode_relative,11,1,100.0,pca,23.500642776489258,27.267648696899414,24.77803611755371,1.2773933410644531,2.489612579345703,0.10468144077659529,0.03035158484152091,0.0715528004908641,100.0
t_block_indices_11-__q_beta_10__init_mode_pca__error_mode_relative,11,1,10.0,pca,23.500642776489258,27.267648696899414,24.89647102355957,1.3958282470703125,2.3711776733398438,0.10878778666999349,0.029131636439555558,0.060393217007285754,10.0
t_block_indices_11-__q_beta_50__init_mode_pca__error_mode_relative,11,1,50.0,pca,23.500642776489258,27.267648696899414,24.976985931396484,1.4763431549072266,2.2906627655029297,0.10868840561614931,0.03025775840230601,0.06826722534182297,50.0
t_block_indices_11-__q_beta_0.5__init_mode_pca__error_mode_relative,11,1,0.5,pca,23.500642776489258,27.267648696899414,25.00423812866211,1.5035953521728516,2.2634105682373047,0.14497921132964198,0.058296261297338926,0.05286753227808326,0.5
t_block_indices_11-__q_beta_1__init_mode_pca__error_mode_relative,11,1,1.0,pca,23.500642776489258,27.267648696899414,25.044715881347656,1.5440731048583984,2.222932815551758,0.13705838673142398,0.04844955898827626,0.05372098369927323,1.0
t_block_indices_11-__q_beta_5__init_mode_pca__error_mode_relative,11,1,5.0,pca,23.500642776489258,27.267648696899414,25.049312591552734,1.5486698150634766,2.2183361053466797,0.11454853416561558,0.031046632477857425,0.05789935702997044,5.0
t_block_indices_11-__q_beta_0.1__init_mode_pca__error_mode_relative,11,1,0.1,pca,23.500642776489258,27.267648696899414,25.066177368164062,1.5655345916748047,2.2014713287353516,0.15689840266760807,0.08284948806533346,0.05218702024886762,0.1
t_block_indices_11-__q_beta_0.01__init_mode_pca__error_mode_relative,11,1,0.01,pca,23.500642776489258,27.267648696899414,25.110849380493164,1.6102066040039062,2.15679931640625,0.162176838848072,0.10036695497669622,0.05212716105669928,0.01
t_block_indices_11-__q_beta_0__init_mode_pca__error_mode_relative,11,1,0.0,pca,23.500642776489258,27.267648696899414,25.142772674560547,1.642129898071289,2.124876022338867,0.16432256849521676,0.10395609147148255,0.05209730081472547,0.001
t_block_indices_11-__q_beta_2__init_mode_pca__error_mode_relative,11,1,2.0,pca,23.500642776489258,27.267648696899414,25.14317512512207,1.6425323486328125,2.1244735717773438,0.13512701771298224,0.04173956779724736,0.055039438889964834,2.0
t_block_indices_11-__q_beta_1__init_mode_random__error_mode_relative,11,1,1.0,random,23.500642776489258,27.267648696899414,24.697818756103516,1.1971759796142578,2.5698299407958984,0.11850624787372893,0.049974029306164916,0.056656866266564965,1.0
t_block_indices_11-__q_beta_10__init_mode_random__error_mode_relative,11,1,10.0,random,23.500642776489258,27.267648696899414,24.70002555847168,1.1993827819824219,2.5676231384277344,0.11414671560368365,0.037049848094806125,0.06384965657005082,10.0
t_block_indices_11-__q_beta_2__init_mode_random__error_mode_relative,11,1,2.0,random,23.500642776489258,27.267648696899414,24.70682716369629,1.2061843872070312,2.560821533203125,0.11073908875905214,0.04137577025820639,0.0578253062112661,2.0
t_block_indices_11-__q_beta_50__init_mode_random__error_mode_relative,11,1,50.0,random,23.500642776489258,27.267648696899414,24.72197151184082,1.2213287353515625,2.5456771850585938,0.11532006119059553,0.0379285326127364,0.07262336756756135,50.0
t_block_indices_11-__q_beta_100__init_mode_random__error_mode_relative,11,1,100.0,random,23.500642776489258,27.267648696899414,24.743127822875977,1.2424850463867188,2.5245208740234375,0.1168777138637726,0.03823275158934288,0.07644616554879917,100.0
t_block_indices_11-__q_beta_5__init_mode_random__error_mode_relative,11,1,5.0,random,23.500642776489258,27.267648696899414,24.75364875793457,1.2530059814453125,2.5139999389648438,0.1116334685794575,0.03761659522583938,0.060775331199825186,5.0
t_block_indices_11-__q_beta_0.5__init_mode_random__error_mode_relative,11,1,0.5,random,23.500642776489258,27.267648696899414,24.877365112304688,1.3767223358154297,2.3902835845947266,0.12259362068190073,0.061629942479380626,0.05567580864446606,0.5
t_block_indices_11-__q_beta_0.1__init_mode_random__error_mode_relative,11,1,0.1,random,23.500642776489258,27.267648696899414,24.918405532836914,1.4177627563476562,2.3492431640625,0.13764064813465304,0.08640113345051256,0.05483036092418818,0.1
t_block_indices_11-__q_beta_0.01__init_mode_random__error_mode_relative,11,1,0.01,random,23.500642776489258,27.267648696899414,24.98366928100586,1.4830265045166016,2.2839794158935547,0.14401093813968008,0.10054988950004787,0.05490548342268749,0.01
t_block_indices_11-__q_beta_0__init_mode_random__error_mode_relative,11,1,0.0,random,23.500642776489258,27.267648696899414,25.039766311645508,1.53912353515625,2.2278823852539062,0.14580709474303674,0.10467841160847105,0.054894590134790165,0.001
t_block_indices_8-9-10-11__q_beta_50__init_mode_pca__error_mode_relative,8-9-10-11,4,50.0,pca,23.500642776489258,197.9382781982422,40.92512130737305,17.42447853088379,157.01315689086914,0.1042782210097212,0.030452807748647632,0.06918205640049879,50.0
t_block_indices_8-9-10-11__q_beta_10__init_mode_pca__error_mode_relative,8-9-10-11,4,10.0,pca,23.500642776489258,197.9382781982422,41.093692779541016,17.593050003051758,156.84458541870117,0.11079944637309301,0.02955648467374229,0.060730471383779856,10.0
t_block_indices_8-9-10-11__q_beta_100__init_mode_pca__error_mode_relative,8-9-10-11,4,100.0,pca,23.500642776489258,197.9382781982422,41.52307891845703,18.022436141967773,156.41519927978516,0.10287218134365948,0.030670508815858935,0.07260561169759568,100.0
t_block_indices_8-9-10-11__q_beta_2__init_mode_pca__error_mode_relative,8-9-10-11,4,2.0,pca,23.500642776489258,197.9382781982422,42.148033142089844,18.647390365600586,155.79024505615234,0.1215208502372489,0.03467477973963804,0.05457894952608269,2.0
t_block_indices_8-9-10-11__q_beta_0.5__init_mode_pca__error_mode_relative,8-9-10-11,4,0.5,pca,23.500642776489258,197.9382781982422,42.399044036865234,18.898401260375977,155.53923416137695,0.1308613236370505,0.04968113388579954,0.051894679903796107,0.5
t_block_indices_8-9-10-11__q_beta_1__init_mode_pca__error_mode_relative,8-9-10-11,4,1.0,pca,23.500642776489258,197.9382781982422,42.60581588745117,19.105173110961914,155.33246231079102,0.1262181946510728,0.040913324293035486,0.052922361283591283,1.0
t_block_indices_8-9-10-11__q_beta_5__init_mode_pca__error_mode_relative,8-9-10-11,4,5.0,pca,23.500642776489258,197.9382781982422,43.67262649536133,20.17198371887207,154.26565170288086,0.11359857146371012,0.030132836924646106,0.05768689389255906,5.0
t_block_indices_8-9-10-11__q_beta_0.1__init_mode_pca__error_mode_relative,8-9-10-11,4,0.1,pca,23.500642776489258,197.9382781982422,44.54009246826172,21.03944969177246,153.39818572998047,0.14217934422235634,0.07451509616030592,0.05105122480036902,0.1
t_block_indices_8-9-10-11__q_beta_0.01__init_mode_pca__error_mode_relative,8-9-10-11,4,0.01,pca,23.500642776489258,197.9382781982422,46.21917724609375,22.718534469604492,151.71910095214844,0.149032353520031,0.091174747637222,0.0509696511493129,0.01
t_block_indices_8-9-10-11__q_beta_0__init_mode_pca__error_mode_relative,8-9-10-11,4,0.0,pca,23.500642776489258,197.9382781982422,50.340858459472656,26.8402156829834,147.59741973876953,0.15313030660609978,0.09403607320058174,0.05095141528078119,0.001
t_block_indices_8-9-10-11__q_beta_1__init_mode_random__error_mode_relative,8-9-10-11,4,1.0,random,23.500642776489258,197.9382781982422,34.03472137451172,10.534078598022461,163.90355682373047,0.09569836743436314,0.040765826961275925,0.05723932821063067,1.0
t_block_indices_8-9-10-11__q_beta_2__init_mode_random__error_mode_relative,8-9-10-11,4,2.0,random,23.500642776489258,197.9382781982422,35.139625549316406,11.638982772827148,162.79865264892578,0.09479211114951365,0.03401576998019355,0.05886161124178127,2.0
t_block_indices_8-9-10-11__q_beta_5__init_mode_random__error_mode_relative,8-9-10-11,4,5.0,random,23.500642776489258,197.9382781982422,35.965370178222656,12.464727401733398,161.97290802001953,0.09825261552977374,0.030871909070235713,0.06237663959951648,5.0
t_block_indices_8-9-10-11__q_beta_0.5__init_mode_random__error_mode_relative,8-9-10-11,4,0.5,random,23.500642776489258,197.9382781982422,36.33802795410156,12.837385177612305,161.60025024414062,0.10188924272739167,0.0521463235129714,0.05636468025379008,0.5
t_block_indices_8-9-10-11__q_beta_10__init_mode_random__error_mode_relative,8-9-10-11,4,10.0,random,23.500642776489258,197.9382781982422,37.14101028442383,13.64036750793457,160.79726791381836,0.09904648049260777,0.030713392783490813,0.0657309324161885,10.0
t_block_indices_8-9-10-11__q_beta_0.1__init_mode_random__error_mode_relative,8-9-10-11,4,0.1,random,23.500642776489258,197.9382781982422,37.9576416015625,14.456998825073242,159.9806365966797,0.11447833083319836,0.07591871206190007,0.05556818290338075,0.1
t_block_indices_8-9-10-11__q_beta_100__init_mode_random__error_mode_relative,8-9-10-11,4,100.0,random,23.500642776489258,197.9382781982422,38.86635971069336,15.365716934204102,159.07191848754883,0.10209229149859263,0.031701522814120454,0.0779742539984826,100.0
t_block_indices_8-9-10-11__q_beta_0.01__init_mode_random__error_mode_relative,8-9-10-11,4,0.01,random,23.500642776489258,197.9382781982422,39.17291259765625,15.672269821166992,158.76536560058594,0.1213144544241595,0.08911988402103657,0.05560816384050132,0.01
t_block_indices_8-9-10-11__q_beta_0__init_mode_random__error_mode_relative,8-9-10-11,4,0.0,random,23.500642776489258,197.9382781982422,39.734561920166016,16.233919143676758,158.20371627807617,0.12258978848424117,0.09258109338489194,0.05554102459509249,0.001
t_block_indices_8-9-10-11__q_beta_50__init_mode_random__error_mode_relative,8-9-10-11,4,50.0,random,23.500642776489258,197.9382781982422,39.88227081298828,16.381628036499023,158.0560073852539,0.10163762194535847,0.03170418588748981,0.07454797423292428,50.0
